,XS_Name
376,b'Mississippi      Mainstem 1       589835'
377,b'Mississippi      Mainstem 1       583643'
378,b'Mississippi      Mainstem 1       579322.3'
379,b'Mississippi      Mainstem 1       574890.3'
380,b'Mississippi      Mainstem 1       570211.1'
381,b'Mississippi      Mainstem 1       565917.5'
382,b'Mississippi      Mainstem 1       562116.4'
383,b'Mississippi      Mainstem 1       558466.1'
384,b'Mississippi      Mainstem 1       553806.3'
385,b'Mississippi      Mainstem 1       548821.8'
386,b'Mississippi      Mainstem 1       543975.6'
387,b'Mississippi      Mainstem 1       539292.9'
388,b'Mississippi      Mainstem 1       533877'
389,b'Mississippi      Mainstem 1       528338.8'
390,b'Mississippi      Mainstem 1       524165.1'
391,b'Mississippi      Mainstem 1       519736.2'
392,b'Mississippi      Mainstem 1       515539.1'
393,b'Mississippi      Mainstem 1       510771.7'
394,b'Mississippi      Mainstem 1       504954'
395,b'Mississippi      Mainstem 1       499537'
396,b'Mississippi      Mainstem 1       494769'
397,b'Mississippi      Mainstem 1       489377.5'
398,b'Mississippi      Mainstem 1       483936.1'
399,b'Mississippi      Mainstem 1       478530.5'
400,b'Mississippi      Mainstem 1       472714.8'
401,b'Mississippi      Mainstem 1       466026.6'
402,b'Mississippi      Mainstem 1       460800.4'
403,b'Mississippi      Mainstem 1       455221.3'
404,b'Mississippi      Mainstem 1       449712.8'
405,b'Mississippi      Mainstem 1       443689.8'
406,b'Mississippi      Mainstem 1       437683.8'
407,b'Mississippi      Mainstem 1       432232.3'
408,b'Mississippi      Mainstem 1       427812.5'
409,b'Mississippi      Mainstem 1       422404.7'
410,b'Mississippi      Mainstem 1       416460'
411,b'Mississippi      Mainstem 1       410587.4'
412,b'Mississippi      Mainstem 1       405036.4'
413,b'Mississippi      Mainstem 1       399352.5'
414,b'Mississippi      Mainstem 1       394000.8'
415,b'Mississippi      Mainstem 1       388943.9'
416,b'Mississippi      Mainstem 1       383098.5'
417,b'Mississippi      Mainstem 1       377139.2'
418,b'Mississippi      Mainstem 1       372029'
419,b'Mississippi      Mainstem 1       366465.7'
420,b'Mississippi      Mainstem 1       360590.2'
421,b'Mississippi      Mainstem 1       355073.7'
422,b'Mississippi      Mainstem 1       349675'
423,b'Mississippi      Mainstem 1       344716.2'
424,b'Mississippi      Mainstem 1       339837.8'
425,b'Mississippi      Mainstem 1       336168.4'
426,b'Mississippi      Mainstem 1       331337.9'
427,b'Mississippi      Mainstem 1       325841.2'
428,b'Mississippi      Mainstem 1       320701.8'
429,b'Mississippi      Mainstem 1       315503.4'
